Client IP: 127.0.0.1 ; Client Port: 56805 ; Factorial: 1
Client IP: 127.0.0.1 ; Client Port: 56809 ; Factorial: 120
Client IP: 127.0.0.1 ; Client Port: 56809 ; Factorial: 720
Client IP: 127.0.0.1 ; Client Port: 56809 ; Factorial: 5040
Client IP: 127.0.0.1 ; Client Port: 56809 ; Factorial: 40320
Client IP: 127.0.0.1 ; Client Port: 56809 ; Factorial: 362880
Client IP: 127.0.0.1 ; Client Port: 56809 ; Factorial: 3628800
Client IP: 127.0.0.1 ; Client Port: 56809 ; Factorial: 39916800
Client IP: 127.0.0.1 ; Client Port: 56809 ; Factorial: 479001600
Client IP: 127.0.0.1 ; Client Port: 56809 ; Factorial: 6227020800
Client IP: 127.0.0.1 ; Client Port: 56809 ; Factorial: 87178291200
Client IP: 127.0.0.1 ; Client Port: 56809 ; Factorial: 1307674368000
Client IP: 127.0.0.1 ; Client Port: 56809 ; Factorial: 20922789888000
Client IP: 127.0.0.1 ; Client Port: 56809 ; Factorial: 355687428096000
Client IP: 127.0.0.1 ; Client Port: 56809 ; Factorial: 6402373705728000
Client IP: 127.0.0.1 ; Client Port: 56809 ; Factorial: 121645100408832000
Client IP: 127.0.0.1 ; Client Port: 56809 ; Factorial: 2432902008176640000
Client IP: 127.0.0.1 ; Client Port: 56810 ; Factorial: 1
Client IP: 127.0.0.1 ; Client Port: 56810 ; Factorial: 2
Client IP: 127.0.0.1 ; Client Port: 56810 ; Factorial: 6
Client IP: 127.0.0.1 ; Client Port: 56810 ; Factorial: 24
Client IP: 127.0.0.1 ; Client Port: 56810 ; Factorial: 120
Client IP: 127.0.0.1 ; Client Port: 56810 ; Factorial: 720
Client IP: 127.0.0.1 ; Client Port: 56810 ; Factorial: 5040
Client IP: 127.0.0.1 ; Client Port: 56810 ; Factorial: 40320
Client IP: 127.0.0.1 ; Client Port: 56810 ; Factorial: 362880
Client IP: 127.0.0.1 ; Client Port: 56810 ; Factorial: 3628800
Client IP: 127.0.0.1 ; Client Port: 56810 ; Factorial: 39916800
Client IP: 127.0.0.1 ; Client Port: 56810 ; Factorial: 479001600
Client IP: 127.0.0.1 ; Client Port: 56810 ; Factorial: 6227020800
Client IP: 127.0.0.1 ; Client Port: 56810 ; Factorial: 87178291200
Client IP: 127.0.0.1 ; Client Port: 56810 ; Factorial: 1307674368000
Client IP: 127.0.0.1 ; Client Port: 56810 ; Factorial: 20922789888000
Client IP: 127.0.0.1 ; Client Port: 56810 ; Factorial: 355687428096000
Client IP: 127.0.0.1 ; Client Port: 56810 ; Factorial: 6402373705728000
Client IP: 127.0.0.1 ; Client Port: 56810 ; Factorial: 121645100408832000
Client IP: 127.0.0.1 ; Client Port: 56810 ; Factorial: 2432902008176640000
Client IP: 127.0.0.1 ; Client Port: 56811 ; Factorial: 1
Client IP: 127.0.0.1 ; Client Port: 56811 ; Factorial: 2
Client IP: 127.0.0.1 ; Client Port: 56811 ; Factorial: 6
Client IP: 127.0.0.1 ; Client Port: 56811 ; Factorial: 24
Client IP: 127.0.0.1 ; Client Port: 56811 ; Factorial: 120
Client IP: 127.0.0.1 ; Client Port: 56811 ; Factorial: 720
Client IP: 127.0.0.1 ; Client Port: 56811 ; Factorial: 5040
Client IP: 127.0.0.1 ; Client Port: 56811 ; Factorial: 40320
Client IP: 127.0.0.1 ; Client Port: 56811 ; Factorial: 362880
Client IP: 127.0.0.1 ; Client Port: 56811 ; Factorial: 3628800
Client IP: 127.0.0.1 ; Client Port: 56811 ; Factorial: 39916800
Client IP: 127.0.0.1 ; Client Port: 56811 ; Factorial: 479001600
Client IP: 127.0.0.1 ; Client Port: 56811 ; Factorial: 6227020800
Client IP: 127.0.0.1 ; Client Port: 56811 ; Factorial: 87178291200
Client IP: 127.0.0.1 ; Client Port: 56811 ; Factorial: 1307674368000
Client IP: 127.0.0.1 ; Client Port: 56811 ; Factorial: 20922789888000
Client IP: 127.0.0.1 ; Client Port: 56811 ; Factorial: 355687428096000
Client IP: 127.0.0.1 ; Client Port: 56811 ; Factorial: 6402373705728000
Client IP: 127.0.0.1 ; Client Port: 56811 ; Factorial: 121645100408832000
Client IP: 127.0.0.1 ; Client Port: 56811 ; Factorial: 2432902008176640000
Client IP: 127.0.0.1 ; Client Port: 56812 ; Factorial: 1
Client IP: 127.0.0.1 ; Client Port: 56812 ; Factorial: 2
Client IP: 127.0.0.1 ; Client Port: 56812 ; Factorial: 6
Client IP: 127.0.0.1 ; Client Port: 56812 ; Factorial: 24
Client IP: 127.0.0.1 ; Client Port: 56812 ; Factorial: 120
Client IP: 127.0.0.1 ; Client Port: 56812 ; Factorial: 720
Client IP: 127.0.0.1 ; Client Port: 56812 ; Factorial: 5040
Client IP: 127.0.0.1 ; Client Port: 56812 ; Factorial: 40320
Client IP: 127.0.0.1 ; Client Port: 56812 ; Factorial: 362880
Client IP: 127.0.0.1 ; Client Port: 56812 ; Factorial: 3628800
Client IP: 127.0.0.1 ; Client Port: 56812 ; Factorial: 39916800
Client IP: 127.0.0.1 ; Client Port: 56812 ; Factorial: 479001600
Client IP: 127.0.0.1 ; Client Port: 56812 ; Factorial: 6227020800
Client IP: 127.0.0.1 ; Client Port: 56812 ; Factorial: 87178291200
Client IP: 127.0.0.1 ; Client Port: 56812 ; Factorial: 1307674368000
Client IP: 127.0.0.1 ; Client Port: 56812 ; Factorial: 20922789888000
Client IP: 127.0.0.1 ; Client Port: 56812 ; Factorial: 355687428096000
Client IP: 127.0.0.1 ; Client Port: 56812 ; Factorial: 6402373705728000
Client IP: 127.0.0.1 ; Client Port: 56812 ; Factorial: 121645100408832000
Client IP: 127.0.0.1 ; Client Port: 56812 ; Factorial: 2432902008176640000
Client IP: 127.0.0.1 ; Client Port: 56813 ; Factorial: 1
Client IP: 127.0.0.1 ; Client Port: 56813 ; Factorial: 2
Client IP: 127.0.0.1 ; Client Port: 56813 ; Factorial: 6
Client IP: 127.0.0.1 ; Client Port: 56813 ; Factorial: 24
Client IP: 127.0.0.1 ; Client Port: 56813 ; Factorial: 120
Client IP: 127.0.0.1 ; Client Port: 56813 ; Factorial: 720
Client IP: 127.0.0.1 ; Client Port: 56813 ; Factorial: 5040
Client IP: 127.0.0.1 ; Client Port: 56813 ; Factorial: 40320
Client IP: 127.0.0.1 ; Client Port: 56813 ; Factorial: 362880
Client IP: 127.0.0.1 ; Client Port: 56813 ; Factorial: 3628800
Client IP: 127.0.0.1 ; Client Port: 56813 ; Factorial: 39916800
Client IP: 127.0.0.1 ; Client Port: 56813 ; Factorial: 479001600
Client IP: 127.0.0.1 ; Client Port: 56813 ; Factorial: 6227020800
Client IP: 127.0.0.1 ; Client Port: 56813 ; Factorial: 87178291200
Client IP: 127.0.0.1 ; Client Port: 56813 ; Factorial: 1307674368000
Client IP: 127.0.0.1 ; Client Port: 56813 ; Factorial: 20922789888000
Client IP: 127.0.0.1 ; Client Port: 56813 ; Factorial: 355687428096000
Client IP: 127.0.0.1 ; Client Port: 56813 ; Factorial: 6402373705728000
Client IP: 127.0.0.1 ; Client Port: 56813 ; Factorial: 121645100408832000
Client IP: 127.0.0.1 ; Client Port: 56813 ; Factorial: 2432902008176640000
Client IP: 127.0.0.1 ; Client Port: 56814 ; Factorial: 1
Client IP: 127.0.0.1 ; Client Port: 56814 ; Factorial: 2
Client IP: 127.0.0.1 ; Client Port: 56814 ; Factorial: 6
Client IP: 127.0.0.1 ; Client Port: 56814 ; Factorial: 24
Client IP: 127.0.0.1 ; Client Port: 56814 ; Factorial: 120
Client IP: 127.0.0.1 ; Client Port: 56814 ; Factorial: 720
Client IP: 127.0.0.1 ; Client Port: 56814 ; Factorial: 5040
Client IP: 127.0.0.1 ; Client Port: 56814 ; Factorial: 40320
Client IP: 127.0.0.1 ; Client Port: 56814 ; Factorial: 362880
Client IP: 127.0.0.1 ; Client Port: 56814 ; Factorial: 3628800
Client IP: 127.0.0.1 ; Client Port: 56814 ; Factorial: 39916800
Client IP: 127.0.0.1 ; Client Port: 56814 ; Factorial: 479001600
Client IP: 127.0.0.1 ; Client Port: 56814 ; Factorial: 6227020800
Client IP: 127.0.0.1 ; Client Port: 56814 ; Factorial: 87178291200
Client IP: 127.0.0.1 ; Client Port: 56814 ; Factorial: 1307674368000
Client IP: 127.0.0.1 ; Client Port: 56814 ; Factorial: 20922789888000
Client IP: 127.0.0.1 ; Client Port: 56814 ; Factorial: 355687428096000
Client IP: 127.0.0.1 ; Client Port: 56814 ; Factorial: 6402373705728000
Client IP: 127.0.0.1 ; Client Port: 56814 ; Factorial: 121645100408832000
Client IP: 127.0.0.1 ; Client Port: 56814 ; Factorial: 2432902008176640000
